p1,p2,p3,p4,p5,median_conv_time_1_us,median_conv_time_2_us
16,32,1,32,32,2287,2596
32,32,1,32,32,3839,3742
16,64,1,32,32,4092,4162
32,64,1,32,32,6480,6155
16,128,1,32,32,26443,30020
64,64,1,32,32,44585,17617
16,128,1,32,32,12999,6714
32,128,1,32,32,48056,26237
64,128,1,32,32,36633,95593
32,256,1,32,32,37678,93119
16,512,1,32,32,68929,105697
128,128,1,32,32,134198,133349
64,256,1,32,32,240161,214743
32,512,1,32,32,178285,127209
128,256,1,32,32,287323,251064
16,16,3,32,32,3034,4779
16,32,3,32,32,39504,7107
32,32,3,32,32,36988,76551
64,512,1,32,32,292517,291477
16,64,3,32,32,15594,59889
32,64,3,32,32,121342,116055
64,64,3,32,32,146483,148734
16,128,3,32,32,104660,27494
256,256,1,32,32,630812,703902
128,512,1,32,32,495831,505843
32,128,3,32,32,126020,132110
16,128,3,32,32,47591,60063
64,128,3,32,32,255729,269112
32,256,3,32,32,352045,352180
128,128,3,32,32,668759,717332
64,256,3,32,32,549108,532762
256,512,1,32,32,1263874,1370208
64,512,3,128,32,3749459,3822097
16,512,3,32,32,305622,375326
32,512,3,32,32,616384,625219
128,256,3,32,32,1191987,1239586
512,512,1,32,32,2367251,2745109
16,16,5,32,32,14143,19594
16,32,5,32,32,33342,67953
32,32,5,32,32,130932,127126
64,512,3,32,32,1515023,1277119
16,64,5,32,32,119061,122442
32,64,5,32,32,229794,218624
16,128,5,32,32,183406,257561
256,256,3,32,32,2430213,2133945
64,64,5,32,32,362858,446931
32,128,5,32,32,368937,365710
16,128,5,32,32,165545,218401
128,512,3,32,32,2439187,2236477
64,128,5,32,32,661617,748429
256,256,3,128,32,8833750,8733653
16,16,5,128,32,128606,91279
32,256,5,32,32,787200,792525
16,32,5,128,32,169247,201461
128,128,5,32,32,1485814,1543420
32,32,5,128,32,367249,379625
16,64,5,128,32,355267,422431
16,512,5,32,32,801802,765327
64,256,5,32,32,2230203,1903126
32,64,5,128,32,740696,720956
256,512,3,32,32,4441531,4729502
32,512,5,32,32,1706051,1640552
128,256,5,32,32,3772355,3540491
64,64,5,128,32,1945850,1675252
128,512,3,128,32,8950939,9707239
16,128,5,128,32,942734,924827
64,512,5,32,32,3512771,3727651
